"shoe","pixel_count"
1,15128
2,11745
3,10051
4,7465
5,10285
6,8491
7,9155
8,5486
9,10875
10,8852
11,9751
12,11722
13,10394
14,7260
15,7313
16,9192
17,16002
18,13861
19,8650
20,8795
21,3810
22,14012
23,8565
24,14550
25,12082
26,9886
27,12174
28,6528
29,10461
30,9826
31,10058
32,11272
33,9430
34,9563
35,10692
36,8769
37,8953
38,9561
39,12420
40,16003
41,10283
42,10475
43,8169
44,6219
45,13191
46,8998
47,4894
48,9412
49,8276
50,8948
51,10440
52,15733
53,9493
54,6952
55,9510
56,8023
57,9601
58,9372
59,5756
60,15298
61,15797
62,6534
63,10150
64,7632
65,7109
66,8569
67,7066
68,12772
69,16998
70,15565
71,6335
72,8822
73,13867
74,7605
75,16838
76,8850
77,14277
78,10755
79,11839
80,8675
81,7431
82,9665
83,7320
84,11225
85,10264
86,9233
87,11160
88,14016
89,11323
90,10227
91,13450
92,17604
93,17907
94,10021
95,9838
96,9355
97,12573
98,9978
99,7635
100,5933
101,8047
102,11016
103,7679
104,5794
105,11053
106,10304
107,12205
108,8920
109,12345
110,8829
111,10645
112,8988
113,6650
114,13324
115,15147
116,3787
117,4641
118,16419
119,14393
120,18707
121,9287
122,7664
123,6942
124,8481
125,12159
126,5488
128,11004
129,8620
130,10890
131,13639
132,7836
133,12088
134,13263
135,9500
136,11501
137,11223
138,11832
139,8383
140,6545
141,6584
142,9022
143,18444
144,19199
145,13452
146,15352
147,13763
148,9920
149,10238
150,5807
151,7293
152,18717
153,3735
154,11049
155,10757
156,11308
157,4472
158,7328
159,13791
160,7722
161,9786
162,9948
163,5539
164,5736
165,8233
166,15383
167,8959
168,9575
169,8008
170,8148
171,6504
172,13880
173,11803
174,13395
175,6186
176,18775
177,7940
178,8839
179,11361
180,8898
181,10613
182,14564
183,7150
184,7994
185,8374
186,10365
187,4003
188,16191
189,13727
190,9292
191,11497
192,7210
193,13985
194,16006
195,8043
196,7177
197,4682
198,14004
199,13456
200,9202
201,8032
202,7520
203,7406
204,11569
205,15818
206,15549
207,15462
208,9979
209,8887
210,8720
211,12342
212,13669
213,10364
214,10201
215,8564
216,13715
217,13144
218,11121
219,14477
220,14365
221,13958
222,10698
223,16953
224,14475
225,12752
226,11415
227,10878
228,7253
229,9020
230,9287
231,18609
232,10868
233,8144
234,8473
235,10847
236,8425
237,8484
238,15129
239,4782
240,7062
241,7064
242,15572
243,11486
244,15453
245,6842
246,10970
247,8763
248,15231
249,8256
250,6707
251,9547
252,7012
253,9331
254,9404
255,9061
256,9019
257,9576
258,8064
259,8303
260,13409
261,7858
262,12157
263,12403
264,9416
265,11744
266,9018
267,6540
268,13835
269,13494
270,10753
271,10075
272,8015
273,7448
274,8325
275,8384
276,9667
277,8437
278,7846
279,10542
280,10779
281,14739
282,13738
283,11609
284,6363
285,7917
286,8312
287,9640
288,7845
289,10653
290,9727
291,13556
292,10379
293,12951
294,15950
295,17859
296,11694
297,18259
298,14970
299,10148
300,8988
301,15722
302,7399
303,9505
304,15104
305,10507
306,9964
307,11038
308,10841
309,9584
310,7993
311,3631
312,11977
313,12287
314,13297
315,8375
316,8895
317,10518
318,12094
319,12540
320,13794
321,13261
322,8371
323,7411
324,13444
325,10457
326,9415
327,14064
328,12891
329,8808
330,10190
331,10955
332,11055
333,5408
334,16978
335,8790
336,8257
337,11475
338,11891
339,10737
340,12159
341,9864
342,11527
343,12761
344,9796
345,9759
346,14698
347,10693
348,12587
349,4232
350,10649
351,8995
352,6779
353,9964
354,6780
355,7141
356,11928
357,4137
358,14577
359,13197
360,16318
361,11015
362,11672
363,14913
364,12822
365,11814
366,16212
367,12393
368,11401
369,10830
370,8369
371,10495
372,14813
373,11740
374,10784
375,9223
376,8002
377,15151
378,15477
379,10750
380,10955
381,11465
382,8316
383,17784
384,9279
385,9321
386,13257
387,7518
